State,Residence_Type,Gender,Attendance type,Level of education,Attendance ratio (%)
Uttarakhand,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,124.5
Uttarakhand,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,83.2
Uttarakhand,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,111.6
Uttarakhand,Rural,Male,Net Attendance Ratio,Higher Secondary Level,65.1
Uttarakhand,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,28.8
Uttarakhand,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,27.1
Uttarakhand,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,103.9
Uttarakhand,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,95.6
Uttarakhand,Rural,Male,Gross Attendance Ratio,Primary Level,99.0
Uttarakhand,Rural,Male,Net Attendance Ratio,Primary Level,86.8
Uttarakhand,Rural,Male,Gross Attendance Ratio,Secondary Level,80.1
Uttarakhand,Rural,Male,Net Attendance Ratio,Secondary Level,57.7
Uttarakhand,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,113.1
Uttarakhand,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,82.5
Uttarakhand,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,105.9
Uttarakhand,Rural,Person,Net Attendance Ratio,Higher Secondary Level,60.9
Uttarakhand,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,28.0
Uttarakhand,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,26.0
Uttarakhand,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,104.6
Uttarakhand,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.6
Uttarakhand,Rural,Person,Gross Attendance Ratio,Primary Level,97.6
Uttarakhand,Rural,Person,Net Attendance Ratio,Primary Level,85.9
Uttarakhand,Rural,Person,Gross Attendance Ratio,Secondary Level,82.8
Uttarakhand,Rural,Person,Net Attendance Ratio,Secondary Level,56.3
Uttarakhand,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,118.1
Uttarakhand,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,82.8
Uttarakhand,Total,Female,Gross Attendance Ratio,Higher Secondary Level,88.0
Uttarakhand,Total,Female,Net Attendance Ratio,Higher Secondary Level,50.6
Uttarakhand,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,30.9
Uttarakhand,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,27.2
Uttarakhand,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,105.8
Uttarakhand,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.4
Uttarakhand,Total,Female,Gross Attendance Ratio,Primary Level,98.7
Uttarakhand,Total,Female,Net Attendance Ratio,Primary Level,86.0
Uttarakhand,Total,Female,Gross Attendance Ratio,Secondary Level,85.1
Uttarakhand,Total,Female,Net Attendance Ratio,Secondary Level,54.2
Uttarakhand,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,118.9
Uttarakhand,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,83.2
Uttarakhand,Total,Male,Gross Attendance Ratio,Higher Secondary Level,107.6
Uttarakhand,Total,Male,Net Attendance Ratio,Higher Secondary Level,61.3
Uttarakhand,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,34.5
Uttarakhand,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,31.1
Uttarakhand,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.6
Uttarakhand,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.6
Uttarakhand,Total,Male,Gross Attendance Ratio,Primary Level,100.7
Uttarakhand,Total,Male,Net Attendance Ratio,Primary Level,87.9
Uttarakhand,Total,Male,Gross Attendance Ratio,Secondary Level,77.0
Uttarakhand,Total,Male,Net Attendance Ratio,Secondary Level,54.4
Uttarakhand,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,106.0
Uttarakhand,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,78.9
Uttarakhand,Total,Person,Gross Attendance Ratio,Higher Secondary Level,98.7
Uttarakhand,Total,Person,Net Attendance Ratio,Higher Secondary Level,56.5
Uttarakhand,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,32.8
Uttarakhand,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,29.2
Uttarakhand,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,104.0
Uttarakhand,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.0
Uttarakhand,Total,Person,Gross Attendance Ratio,Primary Level,99.8
Uttarakhand,Total,Person,Net Attendance Ratio,Primary Level,87.1
Uttarakhand,Total,Person,Gross Attendance Ratio,Secondary Level,80.7
Uttarakhand,Total,Person,Net Attendance Ratio,Secondary Level,54.3
Uttarakhand,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,111.6
Uttarakhand,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,80.8
Uttarakhand,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,60.3
Uttarakhand,Urban,Female,Net Attendance Ratio,Higher Secondary Level,38.0
Uttarakhand,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,43.6
Uttarakhand,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,35.0
Uttarakhand,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,107.1
Uttarakhand,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.7
Uttarakhand,Urban,Female,Gross Attendance Ratio,Primary Level,111.5
Uttarakhand,Urban,Female,Net Attendance Ratio,Primary Level,91.5
Uttarakhand,Urban,Female,Gross Attendance Ratio,Secondary Level,82.2
Uttarakhand,Urban,Female,Net Attendance Ratio,Secondary Level,53.5
Uttarakhand,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,101.1
Uttarakhand,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,83.3
Uttarakhand,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,93.5
Uttarakhand,Urban,Male,Net Attendance Ratio,Higher Secondary Level,48.0
Uttarakhand,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,49.8
Uttarakhand,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,41.7
Uttarakhand,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.8
Uttarakhand,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.7
Uttarakhand,Urban,Male,Gross Attendance Ratio,Primary Level,106.1
Uttarakhand,Urban,Male,Net Attendance Ratio,Primary Level,91.4
Uttarakhand,Urban,Male,Gross Attendance Ratio,Secondary Level,68.5
Uttarakhand,Urban,Male,Net Attendance Ratio,Secondary Level,45.1
Uttarakhand,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,87.2
Uttarakhand,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,69.4
Uttarakhand,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,76.6
Uttarakhand,Urban,Person,Net Attendance Ratio,Higher Secondary Level,42.9
Uttarakhand,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,47.1
Uttarakhand,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,38.8
Uttarakhand,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.9
Uttarakhand,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.0
Uttarakhand,Urban,Person,Gross Attendance Ratio,Primary Level,108.0
Uttarakhand,Urban,Person,Net Attendance Ratio,Primary Level,91.4
Uttarakhand,Urban,Person,Gross Attendance Ratio,Secondary Level,74.7
Uttarakhand,Urban,Person,Net Attendance Ratio,Secondary Level,48.9
Uttarakhand,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,92.7
Uttarakhand,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,74.9
Haryana,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,69.7
Haryana,Rural,Female,Net Attendance Ratio,Higher Secondary Level,52.0
Haryana,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,21.6
Haryana,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,15.6
Haryana,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,103.4
Haryana,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,87.8
Haryana,Rural,Female,Gross Attendance Ratio,Primary Level,112.7
Haryana,Rural,Female,Net Attendance Ratio,Primary Level,90.7
Haryana,Rural,Female,Gross Attendance Ratio,Secondary Level,96.5
Haryana,Rural,Female,Net Attendance Ratio,Secondary Level,69.7
Haryana,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,91.5
Haryana,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,74.0
Haryana,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,65.9
Haryana,Rural,Male,Net Attendance Ratio,Higher Secondary Level,39.9
Haryana,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,18.3
Haryana,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,16.6
Haryana,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.7
Haryana,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.3
Haryana,Rural,Male,Gross Attendance Ratio,Primary Level,105.9
Haryana,Rural,Male,Net Attendance Ratio,Primary Level,92.6
Haryana,Rural,Male,Gross Attendance Ratio,Secondary Level,96.8
Haryana,Rural,Male,Net Attendance Ratio,Secondary Level,64.9
Haryana,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,92.8
Haryana,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,80.3
Haryana,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,67.4
Haryana,Rural,Person,Net Attendance Ratio,Higher Secondary Level,44.6
Haryana,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,19.7
Haryana,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,16.2
Haryana,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.7
Haryana,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.2
Haryana,Rural,Person,Gross Attendance Ratio,Primary Level,108.3
Haryana,Rural,Person,Net Attendance Ratio,Primary Level,91.9
Haryana,Rural,Person,Gross Attendance Ratio,Secondary Level,96.7
Haryana,Rural,Person,Net Attendance Ratio,Secondary Level,66.8
Haryana,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,92.3
Haryana,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,77.8
Haryana,Total,Female,Gross Attendance Ratio,Higher Secondary Level,70.9
Haryana,Total,Female,Net Attendance Ratio,Higher Secondary Level,52.3
Haryana,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,27.1
Haryana,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,20.7
Haryana,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,103.9
Haryana,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.8
Haryana,Total,Female,Gross Attendance Ratio,Primary Level,109.7
Haryana,Total,Female,Net Attendance Ratio,Primary Level,89.2
Haryana,Total,Female,Gross Attendance Ratio,Secondary Level,91.5
Haryana,Total,Female,Net Attendance Ratio,Secondary Level,65.8
Haryana,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,95.7
Haryana,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,75.9
Haryana,Total,Male,Gross Attendance Ratio,Higher Secondary Level,69.9
Haryana,Total,Male,Net Attendance Ratio,Higher Secondary Level,44.5
Haryana,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,23.7
Haryana,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,21.0
Haryana,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.8
Haryana,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.6
Haryana,Total,Male,Gross Attendance Ratio,Primary Level,104.3
Haryana,Total,Male,Net Attendance Ratio,Primary Level,90.3
Haryana,Total,Male,Gross Attendance Ratio,Secondary Level,100.1
Haryana,Total,Male,Net Attendance Ratio,Secondary Level,61.5
Haryana,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,92.5
Haryana,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,78.0
Haryana,Total,Person,Gross Attendance Ratio,Higher Secondary Level,70.3
Haryana,Total,Person,Net Attendance Ratio,Higher Secondary Level,47.5
Haryana,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,25.2
Haryana,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,20.9
Haryana,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.3
Haryana,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.6
Haryana,Total,Person,Gross Attendance Ratio,Primary Level,106.3
Haryana,Total,Person,Net Attendance Ratio,Primary Level,89.9
Haryana,Total,Person,Gross Attendance Ratio,Secondary Level,96.7
Haryana,Total,Person,Net Attendance Ratio,Secondary Level,63.2
Haryana,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,93.8
Haryana,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,77.2
Haryana,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,73.6
Haryana,Urban,Female,Net Attendance Ratio,Higher Secondary Level,53.0
Haryana,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,37.8
Haryana,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,30.7
Haryana,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,104.8
Haryana,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.0
Haryana,Urban,Female,Gross Attendance Ratio,Primary Level,104.2
Haryana,Urban,Female,Net Attendance Ratio,Primary Level,86.2
Haryana,Urban,Female,Gross Attendance Ratio,Secondary Level,77.0
Haryana,Urban,Female,Net Attendance Ratio,Secondary Level,54.4
Haryana,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,105.7
Haryana,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,80.6
Haryana,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,78.2
Haryana,Urban,Male,Net Attendance Ratio,Higher Secondary Level,54.2
Haryana,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,37.7
Haryana,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,32.2
Haryana,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.5
Haryana,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,87.6
Haryana,Urban,Male,Gross Attendance Ratio,Primary Level,100.6
Haryana,Urban,Male,Net Attendance Ratio,Primary Level,85.1
Haryana,Urban,Male,Gross Attendance Ratio,Secondary Level,108.7
Haryana,Urban,Male,Net Attendance Ratio,Secondary Level,52.5
Haryana,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,91.7
Haryana,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,71.8
Haryana,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,76.5
Haryana,Urban,Person,Net Attendance Ratio,Higher Secondary Level,53.8
Haryana,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,37.8
Haryana,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,31.5
Haryana,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.5
Haryana,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.0
Haryana,Urban,Person,Gross Attendance Ratio,Primary Level,102.0
Haryana,Urban,Person,Net Attendance Ratio,Primary Level,85.5
Haryana,Urban,Person,Gross Attendance Ratio,Secondary Level,96.8
Haryana,Urban,Person,Net Attendance Ratio,Secondary Level,53.2
Haryana,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,97.7
Haryana,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,75.6
Delhi,Total,Female,Gross Attendance Ratio,Higher Secondary Level,83.9
Delhi,Total,Female,Net Attendance Ratio,Higher Secondary Level,50.9
Delhi,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,32.6
Delhi,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,27.5
Delhi,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,91.6
Delhi,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,81.9
Delhi,Total,Female,Gross Attendance Ratio,Primary Level,101.1
Delhi,Total,Female,Net Attendance Ratio,Primary Level,85.5
Delhi,Total,Female,Gross Attendance Ratio,Secondary Level,104.4
Delhi,Total,Female,Net Attendance Ratio,Secondary Level,71.0
Delhi,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,76.7
Delhi,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,65.8
Delhi,Total,Male,Gross Attendance Ratio,Higher Secondary Level,87.7
Delhi,Total,Male,Net Attendance Ratio,Higher Secondary Level,56.0
Delhi,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,27.4
Delhi,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,20.3
Delhi,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.0
Delhi,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.6
Delhi,Total,Male,Gross Attendance Ratio,Primary Level,99.5
Delhi,Total,Male,Net Attendance Ratio,Primary Level,92.8
Delhi,Total,Male,Gross Attendance Ratio,Secondary Level,87.8
Delhi,Total,Male,Net Attendance Ratio,Secondary Level,57.9
Delhi,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,104.3
Delhi,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,80.3
Delhi,Total,Person,Gross Attendance Ratio,Higher Secondary Level,86.2
Delhi,Total,Person,Net Attendance Ratio,Higher Secondary Level,54.0
Delhi,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,29.6
Delhi,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,23.4
Delhi,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.8
Delhi,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,87.3
Delhi,Total,Person,Gross Attendance Ratio,Primary Level,100.2
Delhi,Total,Person,Net Attendance Ratio,Primary Level,89.8
Delhi,Total,Person,Gross Attendance Ratio,Secondary Level,93.6
Delhi,Total,Person,Net Attendance Ratio,Secondary Level,62.4
Delhi,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,90.6
Delhi,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,73.1
Delhi,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,83.4
Delhi,Urban,Female,Net Attendance Ratio,Higher Secondary Level,47.3
Delhi,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,32.8
Delhi,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,27.5
Delhi,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,91.5
Delhi,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,81.8
Delhi,Urban,Female,Gross Attendance Ratio,Primary Level,101.3
Delhi,Urban,Female,Net Attendance Ratio,Primary Level,85.6
Delhi,Urban,Female,Gross Attendance Ratio,Secondary Level,103.8
Delhi,Urban,Female,Net Attendance Ratio,Secondary Level,70.0
Delhi,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,76.2
Delhi,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,65.0
Delhi,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,89.8
Delhi,Urban,Male,Net Attendance Ratio,Higher Secondary Level,57.0
Delhi,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,28.4
Delhi,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,21.1
Delhi,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.3
