State,Residence_Type,Gender,Course type,Institution type,Distribution of students by institution type and course type (%),Sample number of students under survey by institution type and course type
Punjab,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.8,954.0
Punjab,Rural,Female,Graduate and above level including diploma,Government,4.2,954.0
Punjab,Rural,Female,Graduate and above level including diploma,Private aided,2.3,954.0
Punjab,Rural,Female,Graduate and above level including diploma,Private Unaided,3.6,954.0
Punjab,Rural,Female,Pre-Primary,Government,2.7,954.0
Punjab,Rural,Female,Pre-Primary,Private aided,3.7,954.0
Punjab,Rural,Female,Pre-Primary,Private Unaided,3.1,954.0
Punjab,Rural,Female,Primary,Government,20.2,954.0
Punjab,Rural,Female,Primary,Private aided,4.1,954.0
Punjab,Rural,Female,Primary,Private Unaided,13.2,954.0
Punjab,Rural,Female,Secondary and Higher Secondary,Government,14.8,954.0
Punjab,Rural,Female,Secondary and Higher Secondary,Private aided,2.9,954.0
Punjab,Rural,Female,Secondary and Higher Secondary,Private Unaided,5.9,954.0
Punjab,Rural,Female,Upper Primary,Government,11.1,954.0
Punjab,Rural,Female,Upper Primary,Private aided,2.0,954.0
Punjab,Rural,Female,Upper Primary,Private Unaided,4.5,954.0
Punjab,Rural,Male,Diploma/Certificate below graduate level,Government,0.8,1366.0
Punjab,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.8,1366.0
Punjab,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,1.1,1366.0
Punjab,Rural,Male,Graduate and above level including diploma,Government,3.8,1366.0
Punjab,Rural,Male,Graduate and above level including diploma,Private aided,2.5,1366.0
Punjab,Rural,Male,Graduate and above level including diploma,Private Unaided,1.1,1366.0
Punjab,Rural,Male,Pre-Primary,Government,1.4,1366.0
Punjab,Rural,Male,Pre-Primary,Private aided,2.6,1366.0
Punjab,Rural,Male,Pre-Primary,Private Unaided,6.0,1366.0
Punjab,Rural,Male,Primary,Government,15.9,1366.0
Punjab,Rural,Male,Primary,Private aided,4.7,1366.0
Punjab,Rural,Male,Primary,Private Unaided,12.5,1366.0
Punjab,Rural,Male,Secondary and Higher Secondary,Government,16.0,1366.0
Punjab,Rural,Male,Secondary and Higher Secondary,Private aided,2.7,1366.0
Punjab,Rural,Male,Secondary and Higher Secondary,Private Unaided,6.6,1366.0
Punjab,Rural,Male,Upper Primary,Government,10.8,1366.0
Punjab,Rural,Male,Upper Primary,Private aided,2.6,1366.0
Punjab,Rural,Male,Upper Primary,Private Unaided,7.8,1366.0
Punjab,Rural,Persons,Diploma/Certificate below graduate level,Government,0.6,2320.0
Punjab,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.6,2320.0
Punjab,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,1.0,2320.0
Punjab,Rural,Persons,Graduate and above level including diploma,Government,4.0,2320.0
Punjab,Rural,Persons,Graduate and above level including diploma,Private aided,2.4,2320.0
Punjab,Rural,Persons,Graduate and above level including diploma,Private Unaided,2.2,2320.0
Punjab,Rural,Persons,Pre-Primary,Government,2.0,2320.0
Punjab,Rural,Persons,Pre-Primary,Private aided,3.1,2320.0
Punjab,Rural,Persons,Pre-Primary,Private Unaided,4.8,2320.0
Punjab,Rural,Persons,Primary,Government,17.7,2320.0
Punjab,Rural,Persons,Primary,Private aided,4.4,2320.0
Punjab,Rural,Persons,Primary,Private Unaided,12.8,2320.0
Punjab,Rural,Persons,Secondary and Higher Secondary,Government,15.5,2320.0
Punjab,Rural,Persons,Secondary and Higher Secondary,Private aided,2.8,2320.0
Punjab,Rural,Persons,Secondary and Higher Secondary,Private Unaided,6.3,2320.0
Punjab,Rural,Persons,Upper Primary,Government,10.9,2320.0
Punjab,Rural,Persons,Upper Primary,Private aided,2.3,2320.0
Punjab,Rural,Persons,Upper Primary,Private Unaided,6.4,2320.0
Punjab,Total,Female,Diploma/Certificate below graduate level,Government,0.4,1827.0
Punjab,Total,Female,Diploma/Certificate below graduate level,Private aided,0.3,1827.0
Punjab,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.7,1827.0
Punjab,Total,Female,Graduate and above level including diploma,Government,4.8,1827.0
Punjab,Total,Female,Graduate and above level including diploma,Private aided,2.7,1827.0
Punjab,Total,Female,Graduate and above level including diploma,Private Unaided,4.0,1827.0
Punjab,Total,Female,Pre-Primary,Government,1.9,1827.0
Punjab,Total,Female,Pre-Primary,Private aided,3.3,1827.0
Punjab,Total,Female,Pre-Primary,Private Unaided,4.9,1827.0
Punjab,Total,Female,Primary,Government,16.0,1827.0
Punjab,Total,Female,Primary,Private aided,5.1,1827.0
Punjab,Total,Female,Primary,Private Unaided,15.9,1827.0
Punjab,Total,Female,Secondary and Higher Secondary,Government,12.5,1827.0
Punjab,Total,Female,Secondary and Higher Secondary,Private aided,3.1,1827.0
Punjab,Total,Female,Secondary and Higher Secondary,Private Unaided,6.2,1827.0
Punjab,Total,Female,Upper Primary,Government,9.6,1827.0
Punjab,Total,Female,Upper Primary,Private aided,2.8,1827.0
Punjab,Total,Female,Upper Primary,Private Unaided,5.6,1827.0
Punjab,Total,Male,Diploma/Certificate below graduate level,Government,0.8,2660.0
Punjab,Total,Male,Diploma/Certificate below graduate level,Private aided,0.8,2660.0
Punjab,Total,Male,Diploma/Certificate below graduate level,Private Unaided,1.0,2660.0
Punjab,Total,Male,Graduate and above level including diploma,Government,4.6,2660.0
Punjab,Total,Male,Graduate and above level including diploma,Private aided,2.9,2660.0
Punjab,Total,Male,Graduate and above level including diploma,Private Unaided,2.1,2660.0
Punjab,Total,Male,Pre-Primary,Government,1.4,2660.0
Punjab,Total,Male,Pre-Primary,Private aided,2.7,2660.0
Punjab,Total,Male,Pre-Primary,Private Unaided,6.7,2660.0
Punjab,Total,Male,Primary,Government,12.7,2660.0
Punjab,Total,Male,Primary,Private aided,6.1,2660.0
Punjab,Total,Male,Primary,Private Unaided,14.6,2660.0
Punjab,Total,Male,Secondary and Higher Secondary,Government,12.5,2660.0
Punjab,Total,Male,Secondary and Higher Secondary,Private aided,3.1,2660.0
Punjab,Total,Male,Secondary and Higher Secondary,Private Unaided,8.1,2660.0
Punjab,Total,Male,Upper Primary,Government,8.5,2660.0
Punjab,Total,Male,Upper Primary,Private aided,3.1,2660.0
Punjab,Total,Male,Upper Primary,Private Unaided,8.1,2660.0
Punjab,Total,Persons,Diploma/Certificate below graduate level,Government,0.6,4487.0
Punjab,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.6,4487.0
Punjab,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.9,4487.0
Punjab,Total,Persons,Graduate and above level including diploma,Government,4.7,4487.0
Punjab,Total,Persons,Graduate and above level including diploma,Private aided,2.8,4487.0
Punjab,Total,Persons,Graduate and above level including diploma,Private Unaided,2.9,4487.0
Punjab,Total,Persons,Pre-Primary,Government,1.6,4487.0
Punjab,Total,Persons,Pre-Primary,Private aided,2.9,4487.0
Punjab,Total,Persons,Pre-Primary,Private Unaided,6.0,4487.0
Punjab,Total,Persons,Primary,Government,14.1,4487.0
Punjab,Total,Persons,Primary,Private aided,5.7,4487.0
Punjab,Total,Persons,Primary,Private Unaided,15.1,4487.0
Punjab,Total,Persons,Secondary and Higher Secondary,Government,12.5,4487.0
Punjab,Total,Persons,Secondary and Higher Secondary,Private aided,3.1,4487.0
Punjab,Total,Persons,Secondary and Higher Secondary,Private Unaided,7.3,4487.0
Punjab,Total,Persons,Upper Primary,Government,8.9,4487.0
Punjab,Total,Persons,Upper Primary,Private aided,3.0,4487.0
Punjab,Total,Persons,Upper Primary,Private Unaided,7.1,4487.0
Punjab,Urban,Female,Diploma/Certificate below graduate level,Government,0.4,873.0
Punjab,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.2,873.0
Punjab,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.3,873.0
Punjab,Urban,Female,Graduate and above level including diploma,Government,6.1,873.0
Punjab,Urban,Female,Graduate and above level including diploma,Private aided,3.6,873.0
Punjab,Urban,Female,Graduate and above level including diploma,Private Unaided,4.9,873.0
Punjab,Urban,Female,Pre-Primary,Government,0.4,873.0
Punjab,Urban,Female,Pre-Primary,Private aided,2.5,873.0
Punjab,Urban,Female,Pre-Primary,Private Unaided,8.4,873.0
Punjab,Urban,Female,Primary,Government,7.6,873.0
Punjab,Urban,Female,Primary,Private aided,7.0,873.0
Punjab,Urban,Female,Primary,Private Unaided,21.2,873.0
Punjab,Urban,Female,Secondary and Higher Secondary,Government,7.8,873.0
Punjab,Urban,Female,Secondary and Higher Secondary,Private aided,3.6,873.0
Punjab,Urban,Female,Secondary and Higher Secondary,Private Unaided,6.8,873.0
Punjab,Urban,Female,Upper Primary,Government,6.6,873.0
Punjab,Urban,Female,Upper Primary,Private aided,4.5,873.0
Punjab,Urban,Female,Upper Primary,Private Unaided,7.8,873.0
Punjab,Urban,Male,Diploma/Certificate below graduate level,Government,0.6,1294.0
Punjab,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.9,1294.0
Punjab,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.8,1294.0
Punjab,Urban,Male,Graduate and above level including diploma,Government,6.0,1294.0
Punjab,Urban,Male,Graduate and above level including diploma,Private aided,3.7,1294.0
Punjab,Urban,Male,Graduate and above level including diploma,Private Unaided,3.9,1294.0
Punjab,Urban,Male,Pre-Primary,Government,1.2,1294.0
Punjab,Urban,Male,Pre-Primary,Private aided,2.8,1294.0
Punjab,Urban,Male,Pre-Primary,Private Unaided,8.1,1294.0
Punjab,Urban,Male,Primary,Government,6.8,1294.0
Punjab,Urban,Male,Primary,Private aided,8.9,1294.0
Punjab,Urban,Male,Primary,Private Unaided,18.5,1294.0
Punjab,Urban,Male,Secondary and Higher Secondary,Government,6.0,1294.0
Punjab,Urban,Male,Secondary and Higher Secondary,Private aided,3.9,1294.0
Punjab,Urban,Male,Secondary and Higher Secondary,Private Unaided,10.7,1294.0
Punjab,Urban,Male,Upper Primary,Government,4.1,1294.0
Punjab,Urban,Male,Upper Primary,Private aided,4.1,1294.0
Punjab,Urban,Male,Upper Primary,Private Unaided,8.7,1294.0
Punjab,Urban,Persons,Diploma/Certificate below graduate level,Government,0.6,2167.0
Punjab,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.6,2167.0
Punjab,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.6,2167.0
Punjab,Urban,Persons,Graduate and above level including diploma,Government,6.0,2167.0
Punjab,Urban,Persons,Graduate and above level including diploma,Private aided,3.7,2167.0
Punjab,Urban,Persons,Graduate and above level including diploma,Private Unaided,4.3,2167.0
Punjab,Urban,Persons,Pre-Primary,Government,0.9,2167.0
Punjab,Urban,Persons,Pre-Primary,Private aided,2.7,2167.0
Punjab,Urban,Persons,Pre-Primary,Private Unaided,8.2,2167.0
Punjab,Urban,Persons,Primary,Government,7.1,2167.0
Punjab,Urban,Persons,Primary,Private aided,8.1,2167.0
Punjab,Urban,Persons,Primary,Private Unaided,19.6,2167.0
Punjab,Urban,Persons,Secondary and Higher Secondary,Government,6.7,2167.0
Punjab,Urban,Persons,Secondary and Higher Secondary,Private aided,3.8,2167.0
Punjab,Urban,Persons,Secondary and Higher Secondary,Private Unaided,9.1,2167.0
Punjab,Urban,Persons,Upper Primary,Government,5.1,2167.0
Punjab,Urban,Persons,Upper Primary,Private aided,4.2,2167.0
Punjab,Urban,Persons,Upper Primary,Private Unaided,8.3,2167.0
Chandigarh,Rural,Female,Diploma/Certificate below graduate level,Government,0.0,33.0
Chandigarh,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.0,33.0
Chandigarh,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,33.0
Chandigarh,Rural,Female,Graduate and above level including diploma,Government,1.2,33.0
Chandigarh,Rural,Female,Graduate and above level including diploma,Private aided,3.3,33.0
Chandigarh,Rural,Female,Graduate and above level including diploma,Private Unaided,0.0,33.0
Chandigarh,Rural,Female,Pre-Primary,Government,0.0,33.0
Chandigarh,Rural,Female,Pre-Primary,Private aided,0.0,33.0
Chandigarh,Rural,Female,Pre-Primary,Private Unaided,0.0,33.0
Chandigarh,Rural,Female,Primary,Government,32.7,33.0
Chandigarh,Rural,Female,Primary,Private aided,6.0,33.0
Chandigarh,Rural,Female,Primary,Private Unaided,0.0,33.0
Chandigarh,Rural,Female,Secondary and Higher Secondary,Government,38.0,33.0
Chandigarh,Rural,Female,Secondary and Higher Secondary,Private aided,13.9,33.0
Chandigarh,Rural,Female,Secondary and Higher Secondary,Private Unaided,0.0,33.0
Chandigarh,Rural,Female,Upper Primary,Government,4.8,33.0
Chandigarh,Rural,Female,Upper Primary,Private aided,0.2,33.0
Chandigarh,Rural,Female,Upper Primary,Private Unaided,0.0,33.0
Chandigarh,Rural,Male,Diploma/Certificate below graduate level,Government,0.0,50.0
Chandigarh,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.0,50.0
Chandigarh,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.0,50.0
Chandigarh,Rural,Male,Graduate and above level including diploma,Government,14.3,50.0
Chandigarh,Rural,Male,Graduate and above level including diploma,Private aided,0.2,50.0
Chandigarh,Rural,Male,Graduate and above level including diploma,Private Unaided,0.3,50.0
Chandigarh,Rural,Male,Pre-Primary,Government,18.0,50.0
Chandigarh,Rural,Male,Pre-Primary,Private aided,0.0,50.0
Chandigarh,Rural,Male,Pre-Primary,Private Unaided,0.0,50.0
Chandigarh,Rural,Male,Primary,Government,17.2,50.0
Chandigarh,Rural,Male,Primary,Private aided,19.4,50.0
Chandigarh,Rural,Male,Primary,Private Unaided,0.9,50.0
Chandigarh,Rural,Male,Secondary and Higher Secondary,Government,19.2,50.0
Chandigarh,Rural,Male,Secondary and Higher Secondary,Private aided,0.3,50.0
Chandigarh,Rural,Male,Secondary and Higher Secondary,Private Unaided,0.0,50.0
Chandigarh,Rural,Male,Upper Primary,Government,8.4,50.0
Chandigarh,Rural,Male,Upper Primary,Private aided,1.9,50.0
Chandigarh,Rural,Male,Upper Primary,Private Unaided,0.0,50.0
Chandigarh,Rural,Persons,Diploma/Certificate below graduate level,Government,0.0,83.0
Chandigarh,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.0,83.0
Chandigarh,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,83.0
Chandigarh,Rural,Persons,Graduate and above level including diploma,Government,9.6,83.0
Chandigarh,Rural,Persons,Graduate and above level including diploma,Private aided,1.3,83.0
Chandigarh,Rural,Persons,Graduate and above level including diploma,Private Unaided,0.2,83.0
Chandigarh,Rural,Persons,Pre-Primary,Government,11.6,83.0
Chandigarh,Rural,Persons,Pre-Primary,Private aided,0.0,83.0
Chandigarh,Rural,Persons,Pre-Primary,Private Unaided,0.0,83.0
Chandigarh,Rural,Persons,Primary,Government,22.7,83.0
Chandigarh,Rural,Persons,Primary,Private aided,14.6,83.0
Chandigarh,Rural,Persons,Primary,Private Unaided,0.6,83.0
Chandigarh,Rural,Persons,Secondary and Higher Secondary,Government,25.9,83.0
Chandigarh,Rural,Persons,Secondary and Higher Secondary,Private aided,5.1,83.0
Chandigarh,Rural,Persons,Secondary and Higher Secondary,Private Unaided,0.0,83.0
Chandigarh,Rural,Persons,Upper Primary,Government,7.1,83.0
Chandigarh,Rural,Persons,Upper Primary,Private aided,1.3,83.0
Chandigarh,Rural,Persons,Upper Primary,Private Unaided,0.0,83.0
Chandigarh,Total,Female,Diploma/Certificate below graduate level,Government,0.4,188.0
Chandigarh,Total,Female,Diploma/Certificate below graduate level,Private aided,0.1,188.0
Chandigarh,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.6,188.0
Chandigarh,Total,Female,Graduate and above level including diploma,Government,9.0,188.0
Chandigarh,Total,Female,Graduate and above level including diploma,Private aided,1.6,188.0
Chandigarh,Total,Female,Graduate and above level including diploma,Private Unaided,0.4,188.0
Chandigarh,Total,Female,Pre-Primary,Government,9.4,188.0
Chandigarh,Total,Female,Pre-Primary,Private aided,4.6,188.0
Chandigarh,Total,Female,Pre-Primary,Private Unaided,2.5,188.0
Chandigarh,Total,Female,Primary,Government,17.4,188.0
Chandigarh,Total,Female,Primary,Private aided,5.1,188.0
Chandigarh,Total,Female,Primary,Private Unaided,2.8,188.0
Chandigarh,Total,Female,Secondary and Higher Secondary,Government,15.9,188.0
Chandigarh,Total,Female,Secondary and Higher Secondary,Private aided,6.4,188.0
Chandigarh,Total,Female,Secondary and Higher Secondary,Private Unaided,3.2,188.0
Chandigarh,Total,Female,Upper Primary,Government,12.7,188.0
Chandigarh,Total,Female,Upper Primary,Private aided,5.9,188.0
Chandigarh,Total,Female,Upper Primary,Private Unaided,1.0,188.0
Chandigarh,Total,Male,Diploma/Certificate below graduate level,Government,2.0,263.0
Chandigarh,Total,Male,Diploma/Certificate below graduate level,Private aided,0.1,263.0
Chandigarh,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.1,263.0
Chandigarh,Total,Male,Graduate and above level including diploma,Government,12.8,263.0
Chandigarh,Total,Male,Graduate and above level including diploma,Private aided,2.6,263.0
Chandigarh,Total,Male,Graduate and above level including diploma,Private Unaided,0.6,263.0
Chandigarh,Total,Male,Pre-Primary,Government,5.4,263.0
Chandigarh,Total,Male,Pre-Primary,Private aided,2.9,263.0
Chandigarh,Total,Male,Pre-Primary,Private Unaided,0.9,263.0
Chandigarh,Total,Male,Primary,Government,12.9,263.0
Chandigarh,Total,Male,Primary,Private aided,8.8,263.0
Chandigarh,Total,Male,Primary,Private Unaided,6.5,263.0
Chandigarh,Total,Male,Secondary and Higher Secondary,Government,16.5,263.0
Chandigarh,Total,Male,Secondary and Higher Secondary,Private aided,11.4,263.0
Chandigarh,Total,Male,Secondary and Higher Secondary,Private Unaided,3.9,263.0
Chandigarh,Total,Male,Upper Primary,Government,5.5,263.0
Chandigarh,Total,Male,Upper Primary,Private aided,4.5,263.0
