State,Residence_Type,Level of current enrolment,Gender,Gross enrolment ratio ( ger )
Kerala,Total,Secondary And Higher Secondary,Female,100.0
Kerala,Total,Upper Primary,Female,97.0
Kerala,Total,Higher Secondary,Male,103.6
Kerala,Total,Post Higher Secondary,Male,35.8
Kerala,Total,Primary,Male,104.7
Kerala,Total,Primary To Higher Secondary,Male,101.4
Kerala,Total,Primary & Upper Primary,Male,101.6
Kerala,Total,Secondary,Male,98.9
Kerala,Total,Secondary And Higher Secondary,Male,101.0
Kerala,Total,Upper Primary,Male,97.5
Kerala,Total,Higher Secondary,Person,103.0
Kerala,Total,Post Higher Secondary,Person,39.3
Kerala,Total,Primary,Person,103.6
Kerala,Total,Primary To Higher Secondary,Person,100.8
Kerala,Total,Primary & Upper Primary,Person,100.9
Kerala,Total,Secondary,Person,98.4
Kerala,Total,Secondary And Higher Secondary,Person,100.6
Kerala,Total,Upper Primary,Person,97.3
Kerala,Urban,Higher Secondary,Female,89.8
Kerala,Urban,Post Higher Secondary,Female,44.9
Kerala,Urban,Primary,Female,103.8
Kerala,Urban,Primary To Higher Secondary,Female,99.0
Kerala,Urban,Primary & Upper Primary,Female,102.9
Kerala,Urban,Secondary,Female,93.5
Kerala,Urban,Secondary And Higher Secondary,Female,91.4
Kerala,Urban,Upper Primary,Female,101.7
Kerala,Urban,Higher Secondary,Male,106.4
Kerala,Urban,Post Higher Secondary,Male,32.6
Kerala,Urban,Primary,Male,108.7
Kerala,Urban,Primary To Higher Secondary,Male,104.3
Kerala,Urban,Primary & Upper Primary,Male,104.6
Kerala,Urban,Secondary,Male,101.7
Kerala,Urban,Secondary And Higher Secondary,Male,103.8
Kerala,Urban,Upper Primary,Male,98.8
Kerala,Urban,Higher Secondary,Person,97.9
Kerala,Urban,Post Higher Secondary,Person,38.6
Kerala,Urban,Primary,Person,106.3
Kerala,Urban,Primary To Higher Secondary,Person,101.7
Kerala,Urban,Primary & Upper Primary,Person,103.8
Kerala,Urban,Secondary,Person,98.4
Kerala,Urban,Secondary And Higher Secondary,Person,98.2
Kerala,Urban,Upper Primary,Person,100.2
Tamil Nadu,Rural,Higher Secondary,Female,98.8
Tamil Nadu,Rural,Post Higher Secondary,Female,32.5
Tamil Nadu,Rural,Primary,Female,99.9
Tamil Nadu,Rural,Primary To Higher Secondary,Female,97.3
Tamil Nadu,Rural,Primary & Upper Primary,Female,96.6
Tamil Nadu,Rural,Secondary,Female,98.2
Tamil Nadu,Rural,Secondary And Higher Secondary,Female,98.5
Tamil Nadu,Rural,Upper Primary,Female,91.7
Tamil Nadu,Rural,Higher Secondary,Male,81.2
Tamil Nadu,Rural,Post Higher Secondary,Male,32.1
Tamil Nadu,Rural,Primary,Male,98.8
Tamil Nadu,Rural,Primary To Higher Secondary,Male,92.7
Tamil Nadu,Rural,Primary & Upper Primary,Male,97.5
Tamil Nadu,Rural,Secondary,Male,89.7
Tamil Nadu,Rural,Secondary And Higher Secondary,Male,85.3
Tamil Nadu,Rural,Upper Primary,Male,95.7
Tamil Nadu,Rural,Higher Secondary,Person,88.1
Tamil Nadu,Rural,Post Higher Secondary,Person,32.3
Tamil Nadu,Rural,Primary,Person,99.4
Tamil Nadu,Rural,Primary To Higher Secondary,Person,94.9
Tamil Nadu,Rural,Primary & Upper Primary,Person,97.1
Tamil Nadu,Rural,Secondary,Person,93.8
Tamil Nadu,Rural,Secondary And Higher Secondary,Person,91.1
Tamil Nadu,Rural,Upper Primary,Person,93.8
Tamil Nadu,Total,Higher Secondary,Female,102.3
Tamil Nadu,Total,Post Higher Secondary,Female,32.2
Tamil Nadu,Total,Primary,Female,107.9
Tamil Nadu,Total,Primary To Higher Secondary,Female,100.0
Tamil Nadu,Total,Primary & Upper Primary,Female,101.4
Tamil Nadu,Total,Secondary,Female,93.7
Tamil Nadu,Total,Secondary And Higher Secondary,Female,97.6
Tamil Nadu,Total,Upper Primary,Female,92.6
Tamil Nadu,Total,Higher Secondary,Male,85.0
Tamil Nadu,Total,Post Higher Secondary,Male,39.1
Tamil Nadu,Total,Primary,Male,99.3
Tamil Nadu,Total,Primary To Higher Secondary,Male,94.7
Tamil Nadu,Total,Primary & Upper Primary,Male,99.5
Tamil Nadu,Total,Secondary,Male,88.0
Tamil Nadu,Total,Secondary And Higher Secondary,Male,86.6
Tamil Nadu,Total,Upper Primary,Male,99.9
Tamil Nadu,Total,Higher Secondary,Person,92.4
Tamil Nadu,Total,Post Higher Secondary,Person,35.5
Tamil Nadu,Total,Primary,Person,103.2
Tamil Nadu,Total,Primary To Higher Secondary,Person,97.1
Tamil Nadu,Total,Primary & Upper Primary,Person,100.4
Tamil Nadu,Total,Secondary,Person,90.7
Tamil Nadu,Total,Secondary And Higher Secondary,Person,91.5
Tamil Nadu,Total,Upper Primary,Person,96.5
Tamil Nadu,Urban,Higher Secondary,Female,106.4
Tamil Nadu,Urban,Post Higher Secondary,Female,31.9
Tamil Nadu,Urban,Primary,Female,121.5
Tamil Nadu,Urban,Primary To Higher Secondary,Female,104.0
Tamil Nadu,Urban,Primary & Upper Primary,Female,108.6
Tamil Nadu,Urban,Secondary,Female,87.2
Tamil Nadu,Urban,Secondary And Higher Secondary,Female,96.4
Tamil Nadu,Urban,Upper Primary,Female,93.8
Tamil Nadu,Urban,Higher Secondary,Male,91.2
Tamil Nadu,Urban,Post Higher Secondary,Male,47.3
Tamil Nadu,Urban,Primary,Male,99.7
Tamil Nadu,Urban,Primary To Higher Secondary,Male,97.2
Tamil Nadu,Urban,Primary & Upper Primary,Male,101.8
Tamil Nadu,Urban,Secondary,Male,86.0
Tamil Nadu,Urban,Secondary And Higher Secondary,Male,88.3
Tamil Nadu,Urban,Upper Primary,Male,105.0
Tamil Nadu,Urban,Higher Secondary,Person,98.4
Tamil Nadu,Urban,Post Higher Secondary,Person,38.5
Tamil Nadu,Urban,Primary,Person,108.1
Tamil Nadu,Urban,Primary To Higher Secondary,Person,100.1
Tamil Nadu,Urban,Primary & Upper Primary,Person,104.6
Tamil Nadu,Urban,Secondary,Person,86.6
Tamil Nadu,Urban,Secondary And Higher Secondary,Person,92.0
Tamil Nadu,Urban,Upper Primary,Person,99.8
Puducherry,Rural,Higher Secondary,Female,103.3
Puducherry,Rural,Post Higher Secondary,Female,39.3
Puducherry,Rural,Primary,Female,89.1
Puducherry,Rural,Primary To Higher Secondary,Female,85.8
Puducherry,Rural,Primary & Upper Primary,Female,92.6
Puducherry,Rural,Secondary,Female,58.0
Puducherry,Rural,Secondary And Higher Secondary,Female,78.2
Puducherry,Rural,Upper Primary,Female,99.6
Puducherry,Rural,Higher Secondary,Male,100.9
Puducherry,Rural,Post Higher Secondary,Male,23.9
Puducherry,Rural,Primary,Male,95.6
Puducherry,Rural,Primary To Higher Secondary,Male,97.4
Puducherry,Rural,Primary & Upper Primary,Male,95.8
Puducherry,Rural,Secondary,Male,105.8
Puducherry,Rural,Secondary And Higher Secondary,Male,103.3
Puducherry,Rural,Upper Primary,Male,96.0
Puducherry,Rural,Higher Secondary,Person,102.6
Puducherry,Rural,Post Higher Secondary,Person,33.0
Puducherry,Rural,Primary,Person,92.3
Puducherry,Rural,Primary To Higher Secondary,Person,91.0
Puducherry,Rural,Primary & Upper Primary,Person,94.4
Puducherry,Rural,Secondary,Person,69.6
Puducherry,Rural,Secondary And Higher Secondary,Person,84.8
Puducherry,Rural,Upper Primary,Person,97.3
Puducherry,Total,Higher Secondary,Female,95.0
Puducherry,Total,Post Higher Secondary,Female,50.4
Puducherry,Total,Primary,Female,97.7
Puducherry,Total,Primary To Higher Secondary,Female,92.9
Puducherry,Total,Primary & Upper Primary,Female,99.6
Puducherry,Total,Secondary,Female,72.2
Puducherry,Total,Secondary And Higher Secondary,Female,83.4
Puducherry,Total,Upper Primary,Female,103.6
Puducherry,Total,Higher Secondary,Male,77.5
Puducherry,Total,Post Higher Secondary,Male,36.6
Puducherry,Total,Primary,Male,103.4
Puducherry,Total,Primary To Higher Secondary,Male,99.3
Puducherry,Total,Primary & Upper Primary,Male,101.6
Puducherry,Total,Secondary,Male,112.6
Puducherry,Total,Secondary And Higher Secondary,Male,92.6
Puducherry,Total,Upper Primary,Male,99.2
Puducherry,Total,Higher Secondary,Person,87.1
Puducherry,Total,Post Higher Secondary,Person,43.5
Puducherry,Total,Primary,Person,100.9
Puducherry,Total,Primary To Higher Secondary,Person,96.3
Puducherry,Total,Primary & Upper Primary,Person,100.8
Puducherry,Total,Secondary,Person,87.3
Puducherry,Total,Secondary And Higher Secondary,Person,87.2
Puducherry,Total,Upper Primary,Person,100.7
Puducherry,Urban,Higher Secondary,Female,85.9
Puducherry,Urban,Post Higher Secondary,Female,61.0
Puducherry,Urban,Primary,Female,104.5
Puducherry,Urban,Primary To Higher Secondary,Female,100.1
Puducherry,Urban,Primary & Upper Primary,Female,105.3
Puducherry,Urban,Secondary,Female,96.1
Puducherry,Urban,Secondary And Higher Secondary,Female,90.4
Puducherry,Urban,Upper Primary,Female,107.0
Puducherry,Urban,Higher Secondary,Male,69.2
Puducherry,Urban,Post Higher Secondary,Male,43.1
Puducherry,Urban,Primary,Male,107.5
Puducherry,Urban,Primary To Higher Secondary,Male,100.4
Puducherry,Urban,Primary & Upper Primary,Male,105.2
Puducherry,Urban,Secondary,Male,116.0
Puducherry,Urban,Secondary And Higher Secondary,Male,88.2
Puducherry,Urban,Upper Primary,Male,101.6
Puducherry,Urban,Higher Secondary,Person,76.6
Puducherry,Urban,Post Higher Secondary,Person,50.8
Puducherry,Urban,Primary,Person,106.3
Puducherry,Urban,Primary To Higher Secondary,Person,100.3
Puducherry,Urban,Primary & Upper Primary,Person,105.2
Puducherry,Urban,Secondary,Person,106.4
Puducherry,Urban,Secondary And Higher Secondary,Person,89.2
Puducherry,Urban,Upper Primary,Person,103.4
Andaman And Nicobar Islands,Rural,Higher Secondary,Female,101.5
Andaman And Nicobar Islands,Rural,Post Higher Secondary,Female,21.7
Andaman And Nicobar Islands,Rural,Primary,Female,105.7
Andaman And Nicobar Islands,Rural,Primary To Higher Secondary,Female,103.6
Andaman And Nicobar Islands,Rural,Primary & Upper Primary,Female,100.9
Andaman And Nicobar Islands,Rural,Secondary,Female,116.6
Andaman And Nicobar Islands,Rural,Secondary And Higher Secondary,Female,110.1
Andaman And Nicobar Islands,Rural,Upper Primary,Female,91.6
Andaman And Nicobar Islands,Rural,Higher Secondary,Male,102.6
Andaman And Nicobar Islands,Rural,Post Higher Secondary,Male,8.6
Andaman And Nicobar Islands,Rural,Primary,Male,100.9
Andaman And Nicobar Islands,Rural,Primary To Higher Secondary,Male,95.7
Andaman And Nicobar Islands,Rural,Primary & Upper Primary,Male,93.3
Andaman And Nicobar Islands,Rural,Secondary,Male,98.1
Andaman And Nicobar Islands,Rural,Secondary And Higher Secondary,Male,100.4
Andaman And Nicobar Islands,Rural,Upper Primary,Male,77.3
Andaman And Nicobar Islands,Rural,Higher Secondary,Person,102.2
Andaman And Nicobar Islands,Rural,Post Higher Secondary,Person,13.2
Andaman And Nicobar Islands,Rural,Primary,Person,103.3
Andaman And Nicobar Islands,Rural,Primary To Higher Secondary,Person,99.6
Andaman And Nicobar Islands,Rural,Primary & Upper Primary,Person,97.2
Andaman And Nicobar Islands,Rural,Secondary,Person,107.1
Andaman And Nicobar Islands,Rural,Secondary And Higher Secondary,Person,104.7
Andaman And Nicobar Islands,Rural,Upper Primary,Person,84.8
Andaman And Nicobar Islands,Total,Higher Secondary,Female,101.8
Andaman And Nicobar Islands,Total,Post Higher Secondary,Female,39.0
Andaman And Nicobar Islands,Total,Primary,Female,104.5
Andaman And Nicobar Islands,Total,Primary To Higher Secondary,Female,104.6
Andaman And Nicobar Islands,Total,Primary & Upper Primary,Female,98.5
Andaman And Nicobar Islands,Total,Secondary,Female,140.1
Andaman And Nicobar Islands,Total,Secondary And Higher Secondary,Female,121.6
Andaman And Nicobar Islands,Total,Upper Primary,Female,88.3
Andaman And Nicobar Islands,Total,Higher Secondary,Male,100.6
Andaman And Nicobar Islands,Total,Post Higher Secondary,Male,24.1
Andaman And Nicobar Islands,Total,Primary,Male,101.7
Andaman And Nicobar Islands,Total,Primary To Higher Secondary,Male,97.7
Andaman And Nicobar Islands,Total,Primary & Upper Primary,Male,95.7
Andaman And Nicobar Islands,Total,Secondary,Male,104.5
Andaman And Nicobar Islands,Total,Secondary And Higher Secondary,Male,102.2
Andaman And Nicobar Islands,Total,Upper Primary,Male,84.4
Andaman And Nicobar Islands,Total,Higher Secondary,Person,101.0
Andaman And Nicobar Islands,Total,Post Higher Secondary,Person,30.3
Andaman And Nicobar Islands,Total,Primary,Person,103.0
Andaman And Nicobar Islands,Total,Primary To Higher Secondary,Person,100.8
Andaman And Nicobar Islands,Total,Primary & Upper Primary,Person,97.0
Andaman And Nicobar Islands,Total,Secondary,Person,121.2
Andaman And Nicobar Islands,Total,Secondary And Higher Secondary,Person,110.4
Andaman And Nicobar Islands,Total,Upper Primary,Person,86.2
Andaman And Nicobar Islands,Urban,Higher Secondary,Female,102.4
Andaman And Nicobar Islands,Urban,Post Higher Secondary,Female,55.5
Andaman And Nicobar Islands,Urban,Primary,Female,101.6
Andaman And Nicobar Islands,Urban,Primary To Higher Secondary,Female,107.0
Andaman And Nicobar Islands,Urban,Primary & Upper Primary,Female,93.6
Andaman And Nicobar Islands,Urban,Secondary,Female,249.8
Andaman And Nicobar Islands,Urban,Secondary And Higher Secondary,Female,155.5
Andaman And Nicobar Islands,Urban,Upper Primary,Female,82.9
Andaman And Nicobar Islands,Urban,Higher Secondary,Male,97.4
Andaman And Nicobar Islands,Urban,Post Higher Secondary,Male,54.0
Andaman And Nicobar Islands,Urban,Primary,Male,102.9
Andaman And Nicobar Islands,Urban,Primary To Higher Secondary,Male,100.5
Andaman And Nicobar Islands,Urban,Primary & Upper Primary,Male,98.8
Andaman And Nicobar Islands,Urban,Secondary,Male,125.8
Andaman And Nicobar Islands,Urban,Secondary And Higher Secondary,Male,105.9
Andaman And Nicobar Islands,Urban,Upper Primary,Male,91.9
Andaman And Nicobar Islands,Urban,Higher Secondary,Person,99.1
Andaman And Nicobar Islands,Urban,Post Higher Secondary,Person,54.8
Andaman And Nicobar Islands,Urban,Primary,Person,102.4
Andaman And Nicobar Islands,Urban,Primary To Higher Secondary,Person,103.0
Andaman And Nicobar Islands,Urban,Primary & Upper Primary,Person,96.7
Andaman And Nicobar Islands,Urban,Secondary,Person,175.9
Andaman And Nicobar Islands,Urban,Secondary And Higher Secondary,Person,123.8
Andaman And Nicobar Islands,Urban,Upper Primary,Person,88.1
Telangana,Rural,Higher Secondary,Female,86.4
Telangana,Rural,Post Higher Secondary,Female,16.1
Telangana,Rural,Primary,Female,97.9
Telangana,Rural,Primary To Higher Secondary,Female,98.2
Telangana,Rural,Primary & Upper Primary,Female,95.4
Telangana,Rural,Secondary,Female,122.5
Telangana,Rural,Secondary And Higher Secondary,Female,106.1
Telangana,Rural,Upper Primary,Female,92.0
Telangana,Rural,Higher Secondary,Male,91.1
Telangana,Rural,Post Higher Secondary,Male,28.6
Telangana,Rural,Primary,Male,93.2
Telangana,Rural,Primary To Higher Secondary,Male,99.5
Telangana,Rural,Primary & Upper Primary,Male,99.1
Telangana,Rural,Secondary,Male,104.0
Telangana,Rural,Secondary And Higher Secondary,Male,100.2
Telangana,Rural,Upper Primary,Male,107.8
Telangana,Rural,Higher Secondary,Person,88.6
Telangana,Rural,Post Higher Secondary,Person,22.3
Telangana,Rural,Primary,Person,95.4
Telangana,Rural,Primary To Higher Secondary,Person,98.9
Telangana,Rural,Primary & Upper Primary,Person,97.4
Telangana,Rural,Secondary,Person,110.7
Telangana,Rural,Secondary And Higher Secondary,Person,102.7
Telangana,Rural,Upper Primary,Person,100.1
Telangana,Total,Higher Secondary,Female,92.3
Telangana,Total,Post Higher Secondary,Female,24.1
Telangana,Total,Primary,Female,90.1
Telangana,Total,Primary To Higher Secondary,Female,98.7
Telangana,Total,Primary & Upper Primary,Female,96.6
Telangana,Total,Secondary,Female,113.9
Telangana,Total,Secondary And Higher Secondary,Female,104.2
Telangana,Total,Upper Primary,Female,108.3
Telangana,Total,Higher Secondary,Male,100.0
Telangana,Total,Post Higher Secondary,Male,33.5
Telangana,Total,Primary,Male,95.2
Telangana,Total,Primary To Higher Secondary,Male,100.5
Telangana,Total,Primary & Upper Primary,Male,98.8
Telangana,Total,Secondary,Male,107.2
Telangana,Total,Secondary And Higher Secondary,Male,103.9
Telangana,Total,Upper Primary,Male,104.4
Telangana,Total,Higher Secondary,Person,97.0
Telangana,Total,Post Higher Secondary,Person,28.9
Telangana,Total,Primary,Person,92.8
Telangana,Total,Primary To Higher Secondary,Person,99.7
Telangana,Total,Primary & Upper Primary,Person,97.8
Telangana,Total,Secondary,Person,109.8
Telangana,Total,Secondary And Higher Secondary,Person,104.0
Telangana,Total,Upper Primary,Person,106.1
Telangana,Urban,Higher Secondary,Female,99.7
Telangana,Urban,Post Higher Secondary,Female,34.9
Telangana,Urban,Primary,Female,81.8
Telangana,Urban,Primary To Higher Secondary,Female,99.3
Telangana,Urban,Primary & Upper Primary,Female,98.1
Telangana,Urban,Secondary,Female,103.7
Telangana,Urban,Secondary And Higher Secondary,Female,102.0
Telangana,Urban,Upper Primary,Female,146.2
Telangana,Urban,Higher Secondary,Male,104.1
Telangana,Urban,Post Higher Secondary,Male,39.1
Telangana,Urban,Primary,Male,97.4
Telangana,Urban,Primary To Higher Secondary,Male,101.6
Telangana,Urban,Primary & Upper Primary,Male,98.4
Telangana,Urban,Secondary,Male,112.6
Telangana,Urban,Secondary And Higher Secondary,Male,107.5
Telangana,Urban,Upper Primary,Male,100.1
Telangana,Urban,Higher Secondary,Person,102.8
Telangana,Urban,Post Higher Secondary,Person,37.1
Telangana,Urban,Primary,Person,90.1
Telangana,Urban,Primary To Higher Secondary,Person,100.6
Telangana,Urban,Primary & Upper Primary,Person,98.3
Telangana,Urban,Secondary,Person,108.6
Telangana,Urban,Secondary And Higher Secondary,Person,105.5
Telangana,Urban,Upper Primary,Person,115.8
Ladakh,Rural,Higher Secondary,Female,78.7
Ladakh,Rural,Post Higher Secondary,Female,26.9
Ladakh,Rural,Primary,Female,95.8
Ladakh,Rural,Primary To Higher Secondary,Female,97.5
Ladakh,Rural,Primary & Upper Primary,Female,99.2
Ladakh,Rural,Secondary,Female,112.8
Ladakh,Rural,Secondary And Higher Secondary,Female,94.0
Ladakh,Rural,Upper Primary,Female,106.1
Ladakh,Rural,Higher Secondary,Male,72.0
Ladakh,Rural,Post Higher Secondary,Male,35.5
Ladakh,Rural,Primary,Male,105.6
Ladakh,Rural,Primary To Higher Secondary,Male,99.8
Ladakh,Rural,Primary & Upper Primary,Male,101.7
Ladakh,Rural,Secondary,Male,120.6
Ladakh,Rural,Secondary And Higher Secondary,Male,95.7
Ladakh,Rural,Upper Primary,Male,93.7
Ladakh,Rural,Higher Secondary,Person,75.1
Ladakh,Rural,Post Higher Secondary,Person,31.2
Ladakh,Rural,Primary,Person,101.4
Ladakh,Rural,Primary To Higher Secondary,Person,98.8
Ladakh,Rural,Primary & Upper Primary,Person,100.7
Ladakh,Rural,Secondary,Person,117.3
Ladakh,Rural,Secondary And Higher Secondary,Person,94.9
Ladakh,Rural,Upper Primary,Person,99.1
Ladakh,Total,Higher Secondary,Female,81.2
Ladakh,Total,Post Higher Secondary,Female,31.5
Ladakh,Total,Primary,Female,96.9
Ladakh,Total,Primary To Higher Secondary,Female,97.7
Ladakh,Total,Primary & Upper Primary,Female,99.0
Ladakh,Total,Secondary,Female,110.4
Ladakh,Total,Secondary And Higher Secondary,Female,94.9
Ladakh,Total,Upper Primary,Female,103.1
Ladakh,Total,Higher Secondary,Male,75.3
Ladakh,Total,Post Higher Secondary,Male,36.3
Ladakh,Total,Primary,Male,105.6
Ladakh,Total,Primary To Higher Secondary,Male,99.8
Ladakh,Total,Primary & Upper Primary,Male,101.1
Ladakh,Total,Secondary,Male,120.0
Ladakh,Total,Secondary And Higher Secondary,Male,97.0
Ladakh,Total,Upper Primary,Male,92.2
Ladakh,Total,Higher Secondary,Person,77.9
Ladakh,Total,Post Higher Secondary,Person,34.0
Ladakh,Total,Primary,Person,101.9
Ladakh,Total,Primary To Higher Secondary,Person,98.9
Ladakh,Total,Primary & Upper Primary,Person,100.2
Ladakh,Total,Secondary,Person,115.9
Ladakh,Total,Secondary And Higher Secondary,Person,96.1
Ladakh,Total,Upper Primary,Person,96.9
Ladakh,Urban,Higher Secondary,Female,95.5
Ladakh,Urban,Post Higher Secondary,Female,51.1
Ladakh,Urban,Primary,Female,101.7
Ladakh,Urban,Primary To Higher Secondary,Female,98.4
Ladakh,Urban,Primary & Upper Primary,Female,98.0
Ladakh,Urban,Secondary,Female,101.9
Ladakh,Urban,Secondary And Higher Secondary,Female,99.1
Ladakh,Urban,Upper Primary,Female,91.7
Ladakh,Urban,Higher Secondary,Male,87.3
Ladakh,Urban,Post Higher Secondary,Male,38.5
Ladakh,Urban,Primary,Male,105.5
Ladakh,Urban,Primary To Higher Secondary,Male,99.7
Ladakh,Urban,Primary & Upper Primary,Male,98.6
Ladakh,Urban,Secondary,Male,117.8
Ladakh,Urban,Secondary And Higher Secondary,Male,101.8
Ladakh,Urban,Upper Primary,Male,87.2
Ladakh,Urban,Higher Secondary,Person,90.3
Ladakh,Urban,Post Higher Secondary,Person,43.5
Ladakh,Urban,Primary,Person,103.9
Ladakh,Urban,Primary To Higher Secondary,Person,99.1
Ladakh,Urban,Primary & Upper Primary,Person,98.4
Ladakh,Urban,Secondary,Person,110.8
Ladakh,Urban,Secondary And Higher Secondary,Person,100.7
Ladakh,Urban,Upper Primary,Person,89.1
The Dadra And Nagar Haveli And Daman And Diu,Rural,Higher Secondary,Female,104.4539485031
The Dadra And Nagar Haveli And Daman And Diu,Rural,Post Higher Secondary,Female,3.5467241592
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary,Female,124.595207589
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary To Higher Secondary,Female,101.6807933966
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary & Upper Primary,Female,108.4892102994
The Dadra And Nagar Haveli And Daman And Diu,Rural,Secondary,Female,91.5017592707
The Dadra And Nagar Haveli And Daman And Diu,Rural,Secondary And Higher Secondary,Female,95.4792706665
The Dadra And Nagar Haveli And Daman And Diu,Rural,Upper Primary,Female,107.7550819268
The Dadra And Nagar Haveli And Daman And Diu,Rural,Higher Secondary,Male,48.78638906
The Dadra And Nagar Haveli And Daman And Diu,Rural,Post Higher Secondary,Male,0.8680793397
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary,Male,100.4712430701
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary To Higher Secondary,Male,91.7201158063
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary & Upper Primary,Male,101.7134458544
The Dadra And Nagar Haveli And Daman And Diu,Rural,Secondary,Male,284.3094345201
The Dadra And Nagar Haveli And Daman And Diu,Rural,Secondary And Higher Secondary,Male,75.0924923001
The Dadra And Nagar Haveli And Daman And Diu,Rural,Upper Primary,Male,102.2746310213
The Dadra And Nagar Haveli And Daman And Diu,Rural,Higher Secondary,Person,62.9826586177
The Dadra And Nagar Haveli And Daman And Diu,Rural,Post Higher Secondary,Person,1.9345768141
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary,Person,108.1523198226
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary To Higher Secondary,Person,96.024861402
The Dadra And Nagar Haveli And Daman And Diu,Rural,Primary & Upper Primary,Person,105.4609609462
The Dadra And Nagar Haveli And Daman And Diu,Rural,Secondary,Person,131.7238585684
The Dadra And Nagar Haveli And Daman And Diu,Rural,Secondary And Higher Secondary,Person,83.4858814833
The Dadra And Nagar Haveli And Daman And Diu,Rural,Upper Primary,Person,104.5928224714
The Dadra And Nagar Haveli And Daman And Diu,Total,Higher Secondary,Female,89.6675147711
The Dadra And Nagar Haveli And Daman And Diu,Total,Post Higher Secondary,Female,13.2459581297
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary,Female,88.0422401338
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary To Higher Secondary,Female,91.192714275
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary & Upper Primary,Female,90.621481508
The Dadra And Nagar Haveli And Daman And Diu,Total,Secondary,Female,108.1471318123
The Dadra And Nagar Haveli And Daman And Diu,Total,Secondary And Higher Secondary,Female,98.4866022325
The Dadra And Nagar Haveli And Daman And Diu,Total,Upper Primary,Female,92.8133226341
The Dadra And Nagar Haveli And Daman And Diu,Total,Higher Secondary,Male,58.7976059534
The Dadra And Nagar Haveli And Daman And Diu,Total,Post Higher Secondary,Male,2.2405689694
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary,Male,88.9827339698
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary To Higher Secondary,Male,90.9973805532
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary & Upper Primary,Male,97.9261477862
The Dadra And Nagar Haveli And Daman And Diu,Total,Secondary,Male,103.0261477862
The Dadra And Nagar Haveli And Daman And Diu,Total,Secondary And Higher Secondary,Male,80.6118768698
The Dadra And Nagar Haveli And Daman And Diu,Total,Upper Primary,Male,102.5740024806
The Dadra And Nagar Haveli And Daman And Diu,Total,Higher Secondary,Person,68.7866773659
The Dadra And Nagar Haveli And Daman And Diu,Total,Post Higher Secondary,Person,5.6045160114
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary,Person,88.9404187026
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary To Higher Secondary,Person,90.6657684733
The Dadra And Nagar Haveli And Daman And Diu,Total,Primary & Upper Primary,Person,93.5729039315
The Dadra And Nagar Haveli And Daman And Diu,Total,Secondary,Person,104.1298657821
The Dadra And Nagar Haveli And Daman And Diu,Total,Secondary And Higher Secondary,Person,88.3127500187
The Dadra And Nagar Haveli And Daman And Diu,Total,Upper Primary,Person,99.8973054198
The Dadra And Nagar Haveli And Daman And Diu,Urban,Higher Secondary,Female,78.3193025978
The Dadra And Nagar Haveli And Daman And Diu,Urban,Post Higher Secondary,Female,20.6190664617
The Dadra And Nagar Haveli And Daman And Diu,Urban,Primary,Female,82.6437268159
The Dadra And Nagar Haveli And Daman And Diu,Urban,Primary To Higher Secondary,Female,86.5108136359
The Dadra And Nagar Haveli And Daman And Diu,Urban,Primary & Upper Primary,Female,79.92237557
The Dadra And Nagar Haveli And Daman And Diu,Urban,Secondary,Female,126.3890882409
The Dadra And Nagar Haveli And Daman And Diu,Urban,Secondary And Higher Secondary,Female,104.6061060545
The Dadra And Nagar Haveli And Daman And Diu,Urban,Upper Primary,Female,78.9940319584
The Dadra And Nagar Haveli And Daman And Diu,Urban,Higher Secondary,Male,43.3855429966
The Dadra And Nagar Haveli And Daman And Diu,Urban,Post Higher Secondary,Male,3.0763639699
The Dadra And Nagar Haveli And Daman And Diu,Urban,Primary,Male,76.1918851872
The Dadra And Nagar Haveli And Daman And Diu,Urban,Primary To Higher Secondary,Male,90.9574355212
The Dadra And Nagar Haveli And Daman And Diu,Urban,Primary & Upper Primary,Male,93.4924954724
The Dadra And Nagar Haveli And Daman And Diu,Urban,Secondary,Male,89.979062793
The Dadra And Nagar Haveli And Daman And Diu,Urban,Secondary And Higher Secondary,Male,79.1202287987
The Dadra And Nagar Haveli And Daman And Diu,Urban,Upper Primary,Male,97.8960407167
The Dadra And Nagar Haveli And Daman And Diu,Urban,Higher Secondary,Person,70.411561934
The Dadra And Nagar Haveli And Daman And Diu,Urban,Post Higher Secondary,Person,7.9301162337
The Dadra And Nagar Haveli And Daman And Diu,Urban,Primary,Person,80.6358481392
